Method;Path;Version;Target Name;Target Path;Target Service;Name;Platform;Network;STATUS
POST;/common/ai/v1/audio/classifier;None;AV-Voice;/classify;N/A;common-ai-v1;apigee-hybrid;private;available
POST;/common/ai/v1/audio/classifier;None;AV-Voice;/classify;N/A;common-ai-v1;apigee-hybrid;public;available
POST;/common/ai/v1/deployments/*/audio/transcriptions;None;OpenAI-Azure;None;N/A;common-ai-v1;apigee-hybrid;private;available
POST;/common/ai/v1/deployments/*/audio/transcriptions;None;OpenAI-Azure;None;N/A;common-ai-v1;apigee-hybrid;public;available
POST;/common/ai/v1/deployments/*/chat/completions;None;OpenAI-Azure;None;N/A;common-ai-v1;apigee-hybrid;private;available
POST;/common/ai/v1/deployments/*/chat/completions;None;OpenAI-Azure;None;N/A;common-ai-v1;apigee-hybrid;public;available
POST;/common/ai/v1/chatbot/conversation;None;AV-Chat;/chatbot/conversation;N/A;common-ai-v1;apigee-hybrid;public;available
POST;/common/ai/v1/chatbot/conversation;None;AV-Chat;/chatbot/conversation;N/A;common-ai-v1;apigee-hybrid;private;available
POST;/common/ai/v1/copilot/chatbot/conversation/answerEvaluation;None;AV-Augmentation;/copilot/chatbot/conversation/answerEvaluation;N/A;common-ai-v1;apigee-hybrid;public;available
POST;/common/ai/v1/copilot/chatbot/conversation/answerEvaluation;None;AV-Augmentation;/copilot/chatbot/conversation/answerEvaluation;N/A;common-ai-v1;apigee-hybrid;private;available
POST;/common/ai/v1/speech/recognition/conversation/cognitiveservices;None;OpenAI-Azure;None;N/A;common-ai-v1;apigee-hybrid;private;available
POST;/common/ai/v1/speech/recognition/conversation/cognitiveservices;None;OpenAI-Azure;None;N/A;common-ai-v1;apigee-hybrid;public;available
POST;/common/ai/v1/chatbot/conversation/deactivate;None;AV-Chat;/chatbot/conversation/deactivate;N/A;common-ai-v1;apigee-hybrid;private;available
POST;/common/ai/v1/chatbot/conversation/deactivate;None;AV-Chat;/chatbot/conversation/deactivate;N/A;common-ai-v1;apigee-hybrid;public;available
POST;/common/ai/v1/chatbot/conversation/handover;None;AV-Chat;/chatbot/conversation/handover;N/A;common-ai-v1;apigee-hybrid;private;available
POST;/common/ai/v1/chatbot/conversation/handover;None;AV-Chat;/chatbot/conversation/handover;N/A;common-ai-v1;apigee-hybrid;public;available
POST;/common/ai/v1/copilot/chatbot/conversation/message;None;AV-Augmentation;/copilot/chatbot/conversation/message;N/A;common-ai-v1;apigee-hybrid;public;available
POST;/common/ai/v1/copilot/chatbot/conversation/message;None;AV-Augmentation;/copilot/chatbot/conversation/message;N/A;common-ai-v1;apigee-hybrid;private;available
